School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 143 - QUEENS,Q,24,Demo,"2,688,000",CAP,Q143,34-74 113 STREET,Queens,11368,QUEENS   ,40.755451,-73.855192,3,21,381,4043827,4017560025,North Corona                                                               ,"(40.755451, -73.855192)",
P.S. 398 - QUEENS,Q,30,Demo,"1,708,504",CAP,Q398,69-01 34TH AVENUE,Queens,11377,QUEENS   ,40.752493,-73.896922,3,25,291,4028492,4012420032,Jackson Heights                                                            ,"(40.752493, -73.896922)",
P.S. 99 - QUEENS,Q,28,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,"182,000",CIP,Q099,82-37 KEW GARDENS ROAD,Queens,11415,QUEENS   ,40.711419,-73.828628,9,29,216,4080168,4033600001,Kew Gardens                                                                ,"(40.711419, -73.828628)",11/13/2017
P.S. 102 - MANHATTAN,M,4,DEFECTIVE CONCRETE BEAM FIRE PROOFING,"727,000",CIP,M102,315 EAST 113 STREET,Manhattan,10029,MANHATTAN,40.794872,-73.938719,11,8,180,1081366,1016840101,East Harlem North                                                          ,"(40.794872, -73.938719)",
CASCADES CTR FOR TCHING & LNG,M,1,ENY AUDITIORIUM UPGRADE,"145,747",CIP,M510,198 FORSYTH STREET,Manhattan,10002,MANHATTAN,40.72252,-73.990728,3,1,"3,601",1005626,1004220072,Chinatown                                                                  ,"(40.72252, -73.990728)",11/13/2017
IS/HS 336 - QUEENS,Q,78,Lease,"19,987,000",CAP,Q336,124-06 14TH AVENUE,Queens,11356,QUEENS   ,40.785327,-73.843749,7,19,925,4098406,4040890045,College Point                                                              ,"(40.785327, -73.843749)",11/13/2017
P.S. 44 - STATEN ISLAND,R,31,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,"9,777,000",CIP,R044,80 MAPLE PARKWAY,Staten Island,10303,STATEN IS,40.63179,-74.156439,1,49,231,5027641,5012180001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         ,"(40.63179, -74.156439)",
P.S. 106 - BROOKLYN,K,32,FY 15 RESO A ROOM CONVERSION,"375,000",CIP,K106,1328 PUTNAM AVENUE,Brooklyn,11221,BROOKLYN ,40.693879,-73.913056,4,37,435,3077286,3033770001,Bushwick North                                                             ,"(40.693879, -73.913056)",
P.S. 112 - BROOKLYN,K,20,TCU REMOVAL - PLAYGROUND REDEVELOPMENT,"1,578,914",CIP,K112,7115 15 AVENUE,Brooklyn,11228,BROOKLYN ,40.61978,-74.000792,11,43,190,3157760,3061800001,Bensonhurst West                                                           ,"(40.61978, -74.000792)",11/13/2017
CHELSEA VOC HS - MANHATTAN,M,2,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,"2,314,098",CIP,M615,131 AVE OF THE AMERICAS,Manhattan,10013,MANHATTAN,40.7244,-74.004625,2,3,37,1007378,1004910016,SoHo-TriBeCa-Civic Center-Little Italy                                     ,"(40.7244, -74.004625)",
P.S. 31 - BROOKLYN,K,14,EXTERIOR MASONRY/PARAPETS,"3,879,237",CIP,K031,75 MESEROLE AVENUE,Brooklyn,11222,BROOKLYN ,40.726587,-73.95427,1,33,561,3065299,3025950001,Greenpoint                                                                 ,"(40.726587, -73.95427)",11/13/2017
CURTIS HS - STATEN ISLAND,R,31,BRIDGE & REPAIR WK/PARAPETS/WASTE SYS/WINDOWS/ROOF,"12,443,000",CIP,R450,105 HAMILTON AVENUE,Staten Island,10301,STATEN IS,40.644735,-74.081222,1,49,7,5106483,5000220001,West New Brighton-New Brighton-St. George                                  ,"(40.644735, -74.081222)",11/13/2017
P.S. 333 - QUEENS,Q,27,REINF SLAB/HEATING PLT/ELEC/FLOOD ELIM/CLIM CTRL,"12,990,000",CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,QUEENS   ,40.593967,-73.786182,14,31,"97,204",4301929,4158940011,Hammels-Arverne-Edgemere                                                   ,"(40.593967, -73.786182)",11/13/2017
P.S. 130 - BROOKLYN,K,15,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,"12,025,000",CIP,K130,70 OCEAN PARKWAY,Brooklyn,11218,BROOKLYN ,40.648884,-73.975607,7,39,500,3124019,3053190001,Windsor Terrace                                                            ,"(40.648884, -73.975607)",11/13/2017
