School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 253 - BROOKLYN,K,21,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,"7,638,000",CIP,K253,601 OCEANVIEW AVENUE,Brooklyn,11235,K,40.579607,-73.962071,313,48,364,3244470,3086660610,Brighton Beach,"(40.579607, -73.962071)",05/05/2019
NEW UTRECHT HS - BROOKLYN,K,20,WATER PENETRATION INTO BASEMENT/NATATORIUM RECONST,"8,803,000",CIP,K445,1601 80 STREET,Brooklyn,11214,K,40.613262,-74.003404,311,43,182,3162711,3062710001,Bensonhurst West,"(40.613262, -74.003404)",05/05/2019
I.S. 145 - QUEENS,Q,30,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"8,497,000",CIP,Q145,33-34 80 STREET,Queens,11372,Q,40.754661,-73.887112,403,25,285,4442764,4012520001,Jackson Heights,"(40.754661, -73.887112)",05/05/2019
I.S. 49 - STATEN ISLAND,R,31,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"378,628",CIP,R049,101 WARREN STREET,Staten Island,10304,R,40.620347,-74.081643,501,49,29,5014184,5005560080,Stapleton-Rosebank,"(40.620347, -74.081643)",05/05/2019
FORT HAMILTON HS - K,K,20,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"575,000",CIP,K490,8301 SHORE ROAD,Brooklyn,11209,K,40.627898,-74.039985,310,43,46,3152318,3060130001,Bay Ridge,"(40.627898, -74.039985)",05/05/2019
P.S. 20 - BROOKLYN,K,13,ELECTRICAL WORK FOR A/C INITIATIVE,"189,000",CIP,K020,225 ADELPHI STREET,Brooklyn,11205,K,40.690765,-73.971376,302,35,183,3058531,3020910003,Fort Greene,"(40.690765, -73.971376)",05/05/2019
P.S. 219 - BROOKLYN,K,18,WATER INFILTRATION/ROOFS/EXT MASONRY/PARAPETS,"18,388,000",CIP,K219,1060 CLARKSON AVENUE,Brooklyn,11212,K,40.659288,-73.922919,317,41,886,3101168,3046480001,Rugby-Remsen Village,"(40.659288, -73.922919)",05/05/2019
BENJAMIN N. CARDOZO HS - QUEEN,Q,26,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"563,911",CIP,Q415,57-00 223 STREET,Queens,11364,Q,40.752333,-73.75599,411,23,"138,501",4161735,4075290001,Oakland Gardens,"(40.752333, -73.75599)",05/05/2019
P.S. 212 - BROOKLYN,K,21,EXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS/WIN,"12,527,000",CIP,K212,87 BAY 49 STREET,Brooklyn,11214,K,40.587616,-73.985948,313,47,314,3187407,3069170001,Gravesend,"(40.587616, -73.985948)",05/05/2019
P.S. 257 - BROOKLYN,K,14,FY18 RESO A AUDITORIUM UPGRADE,"197,500",CIP,K257,60 COOK STREET,Brooklyn,11206,K,40.702392,-73.941801,301,34,491,3071571,3031140011,East Williamsburg,"(40.702392, -73.941801)",05/05/2019
P.S. 165 - MANHATTAN,M,3,ROOFS,"13,460,000",CIP,M165,234 WEST 109 STREET,Manhattan,10025,M,40.802917,-73.965613,107,7,195,1056676,1018800013,Morningside Heights,"(40.802917, -73.965613)",05/05/2019
P.S. 200 - BROOKLYN,K,20,PARAPETS/ROOFS/EXT MASONRY,"7,947,450",CIP,K200,1940 BENSON AVENUE,Brooklyn,11214,K,40.603188,-74.001408,311,43,282,3167818,3064070008,Bath Beach,"(40.603188, -74.001408)",05/05/2019
P.S. 24 - QUEENS,Q,25,Addition,"82,451,000",CAP,Q024,45-57 UNION STREET,Queens,11355,QUEENS,40.75207,-73.818789,407,20,"1,205",4000000,4052010021,East Flushing,"(40.75207, -73.818789)",11/01/2019
P.S. 321 - BROOKLYN,K,15,FULL PROGRAM ACCESSIBILITY/FIRE ALARM,"5,581,000",CIP,K321,180 7TH AVENUE,Brooklyn,11215,K,40.67146,-73.977783,306,39,155,3337516,3009710028,Park Slope-Gowanus,"(40.67146, -73.977783)",05/05/2019
P.S. 14 - BRONX,X,8,Addition,"50,838,446",CAP,X014,3047 BRUCKNER BLVD,Bronx,10461,X,40.83587,-73.825774,210,13,184,2072754,2053130092,Schuylerville-Throgs Neck-Edgewater Park,"(40.83587, -73.825774)",05/05/2019
FLUSHING HS - QUEENS,Q,25,PARAPETS/EXTERIOR MASONRY/ROOFS,"9,200,000",CIP,Q460,35-01 UNION STREET,Queens,11354,Q,40.765166,-73.82789,407,20,"1,161",4113172,4050020001,Flushing,"(40.765166, -73.82789)",05/05/2019
P.S. 382 - BRONX,X,10,DAMAGE STONE/PARAPETS/ROOFS/WINDOWS,"17,739,000",CIP,X079,125 EAST 181 STREET,Bronx,10453,X,40.854872,-73.903458,205,14,"23,704",2013849,2031700001,Fordham South,"(40.854872, -73.903458)",05/05/2019
P.S. 89 - BRONX,X,11,FLOOD ELIMINATION,"819,500",CIP,X089,980 MACE AVENUE,Bronx,10469,X,40.863055,-73.859387,211,13,324,2051571,2044440016,Bronxdale,"(40.863055, -73.859387)",05/05/2019
PARK WEST H. S. (ECF),M,2,C OF O/C OF O VENT/WATER PLANT/BOILER/ENERGY MGMT,"23,313,000",CIP,M535,525 WEST 50 STREET,Manhattan,10019,M,40.765184,-73.992953,104,3,135,1083802,1010790029,Clinton,"(40.765184, -73.992953)",05/05/2019
WORLD CULTURES HS - X,X,12,ELECTRICAL WORK FOR A/C INITIATIVE,"87,000",CIP,X420,1300 BOYNTON AVENUE,Bronx,10472,X,40.831601,-73.878912,209,18,56,2027459,2038640001,West Farms-Bronx River,"(40.831601, -73.878912)",05/05/2019
GRAMERCY ARTS HS - MANHATTAN,M,2,ELECTRICAL SYSTEMS/PA SYSTEM,"6,221,000",CIP,M460,40 IRVING PLACE,Manhattan,10003,M,40.735494,-73.987659,106,2,50,1017828,1008720057,Gramercy,"(40.735494, -73.987659)",05/05/2019
P.S. 277 - BROOKLYN,K,22,PLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,"5,731,000",CIP,K277,2529 GERRITSEN AVENUE,Brooklyn,11229,K,40.596145,-73.928793,318,46,666,3242369,3085900650,park-cemetery-etc-Brooklyn,"(40.596145, -73.928793)",05/05/2019
EAST ELMHURST COMMUNITY SCHOOL,Q,30,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,"87,130",CIP,Q329,26-25 97TH STREET,Queens,11369,Q,40.761557,-73.872239,403,21,361,4437125,4013770016,East Elmhurst,"(40.761557, -73.872239)",05/05/2019
3K CENTER @ 1 TELEPORT DRIVE - STATEN ISLAND,R,31,Lease,"3,734,000",CAP,R095,1 TELEPORT DRIVE,Staten Is,10314,R,40.604274,-74.178469,502,50,"29,103",5146615,5021650170,New Springville-Bloomfield-Travis,"(40.604274, -74.178469)",05/05/2019
P.S. 123 - BROOKLYN,K,32,LSP DOMESTIC WATER BOOSTER PUMP REPLACEMENT,"67,600",CIP,K123,100 IRVING AVENUE,Brooklyn,11237,K,40.703767,-73.922702,304,34,445,3072966,3032100001,Bushwick North,"(40.703767, -73.922702)",05/05/2019
P.S. 55 - QUEENS,Q,28,PLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,"6,341,000",CIP,Q055,131-10 97 AVENUE,Queens,11419,Q,40.694004,-73.816617,409,28,154,4200233,4094770001,Richmond Hill,"(40.694004, -73.816617)",05/05/2019
P.S. @ 4525 8TH AVENUE - BROOKLYN,K,15,New,"47,833,546",CAP,K730,4525 8TH AVENUE,Brooklyn,11220,K,40.643734,-74.000977,312,38,94,,,Sunset Park East,"(40.643734, -74.000977)",05/05/2019
P.S. 79 - QUEENS,Q,25,C OF O/EXT MASONRY/TCU REMOVAL/PLAYGROUND/LOW VOLT,"23,648,000",CIP,Q079,147-27 15 DRIVE,Queens,11357,Q,40.785909,-73.818058,407,19,"1,039",4105232,4046470001,Whitestone,"(40.785909, -73.818058)",05/05/2019
PROGRESS HS - K,K,14,ROOFS/WINDOWS/EXTERIOR MASONRY/PARAPETS,"59,377,100",CIP,K450,850 GRAND STREET,Brooklyn,11211,K,40.712184,-73.939722,301,34,485,3325733,3030160001,Bushwick South,"(40.712184, -73.939722)",05/05/2019
K000 - BROOKLYN,K,20,FY18 RESO A PLAYGROUNDS,"62,000",CIP,K768,7301 15TH AVENUE,Brooklyn,11228,K,40.618718,-74.001898,311,43,188,3253521,3062020006,Bensonhurst West,"(40.618718, -74.001898)",05/05/2019
P.S. 62 - BRONX,X,8,EXT MASONRY/PARAPETS,"8,142,000",CIP,X062,660 FOX STREET,Bronx,10455,X,40.814031,-73.900609,202,8,83,2005089,2026830065,Longwood,"(40.814031, -73.900609)",05/05/2019
"QNS HS OF TEACH., LIB. ARTS&SC",Q,26,LSP-GYMNASIUM BLEACHERS REPLACEMENT,"75,777",CIP,Q566,74-20 COMMONWEALTH BLVD,Queens,11426,Q,40.746088,-73.727535,413,23,"1,567",4529899,4078700072,Bellerose,"(40.746088, -73.727535)",05/05/2019
J.H.S. 185 - QUEENS,Q,25,ELECTRICAL WORK FOR A/C INITIATIVE,"213,265",CIP,Q185,147-26 25 DRIVE,Queens,11354,Q,40.775253,-73.819347,407,19,"1,047",4108664,4048020001,Murray Hill,"(40.775253, -73.819347)",05/05/2019
PORT RICHMOND HS - R,R,31,TCU REMOVAL/MASONRY/ROOFS/PARAPETS/FLOOD ELIM,"21,499,000",CIP,R445,85 ST JOSEPHS AVENUE,Staten Island,10302,R,40.634573,-74.141818,501,49,213,5026076,5011210001,Port Richmond,"(40.634573, -74.141818)",05/05/2019
RICHMOND HILL HS - QUEENS,Q,27,FY18 RESO A AUDITORIUM� UPGRADE,"1,864,400",CIP,Q475,89-30 114 STREET,Queens,11418,Q,40.695888,-73.833681,409,28,124,4195688,4093210001,Richmond Hill,"(40.695888, -73.833681)",05/05/2019
P.S. @ 836-841 5TH AVENUE - BROOKLYN,K,15,Demo,"5,642,000",CAP,K671,836-841 5TH AVENUE,Brooklyn,11232,K,40.653319,-74.001791,307,38,84,3010279,3006930039,Sunset Park West,"(40.653319, -74.001791)",05/05/2019
VISTA ACADEMY - BROOKLYN,K,19,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"370,000",CIP,K302,350 LINWOOD STREET,Brooklyn,11208,K,40.677104,-73.883433,305,37,"1,170",3088357,3039690001,East New York,"(40.677104, -73.883433)",05/05/2019
MARTIN VAN BUREN HS - QUEENS,Q,26,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"362,684",CIP,Q435,230-17 HILLSIDE AVENUE,Queens,11427,Q,40.733066,-73.738756,413,23,"1,301",4166101,4079300002,Bellerose,"(40.733066, -73.738756)",05/05/2019
P.S. 315 - BROOKLYN,K,22,LOW VOLTAGE ELECTRICAL SYSTEM,"1,243,000",CIP,K152,725 EAST 23 STREET,Brooklyn,11210,K,40.632562,-73.954724,314,45,772,3205780,3075510026,Flatbush,"(40.632562, -73.954724)",05/05/2019
G. WASHINGTON CARVER HS FOR SC,Q,29,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"500,000",CIP,Q420,143-10 SPRINGFIELD BLVD,Queens,11413,Q,40.668235,-73.756839,412,31,330,4280845,4130570056,Springfield Gardens North,"(40.668235, -73.756839)",05/05/2019
P.S. 74 - STATEN ISLAND,R,31,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,"574,490",CIP,R831,211 DANIEL LOW TERRACE,Staten Island,10301,R,40.639087,-74.079922,501,49,11,5000290,5000180006,West New Brighton-New Brighton-St. George,"(40.639087, -74.079922)",05/05/2019
COY L. COX SCHOOL,K,15,DEFECTIVE EXT WALL/FLOOD ELIMINATION/PARAPETS/ROOF,"4,525,000",CIP,K369,383 STATE STREET,Brooklyn,11217,K,40.687257,-73.983579,302,33,41,3000567,3001720055,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.687257, -73.983579)",05/05/2019
I.S. 371 - BRONX,X,8,EXTERIOR MASONRY,"1,698,400",CIP,X192,650 HOLLYWOOD AVENUE,Bronx,10465,X,40.826526,-73.818417,210,13,158,2077130,2054380001,Schuylerville-Throgs Neck-Edgewater Park,"(40.826526, -73.818417)",05/05/2019
P.S./I.S. 323 - BROOKLYN,K,23,ELECTRICAL WORK FOR A/C INITIATIVE,"437,000",CIP,K263,210 CHESTER STREET,Brooklyn,11212,K,40.666545,-73.910904,316,41,924,3081442,3035420001,Brownsville,"(40.666545, -73.910904)",05/05/2019
P.S. 145 - MANHATTAN,M,3,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"135,000",CIP,M145,150 WEST 105 STREET,Manhattan,10025,M,40.799376,-73.965308,107,7,189,1076625,1018590001,Upper West Side,"(40.799376, -73.965308)",05/05/2019
PATHWAYS TO GRADUATION - CITYW,Q,28,EXTERIOR MASONRY,"295,000",CIP,Q595,162-02 HILLSIDE AVENUE,Queens,11432,Q,40.70848,-73.800065,412,24,"44,602",4209031,4097680022,Jamaica,"(40.70848, -73.800065)",05/05/2019
I.S. 34 - STATEN ISLAND,R,31,FULL PROGRAM ACCESSIBILITY/FIRE ALARM SYSTEM,"11,177,000",CIP,R034,528 ACADEMY AVE,Staten Island,10307,R,40.508284,-74.243428,503,51,"24,401",5088090,5078940001,Charleston-Richmond Valley-Tottenville,"(40.508284, -74.243428)",05/05/2019
MARTIN VAN BUREN HS - QUEENS,Q,26,RNWL SBHC,"1,829,000",CIP,Q435,230-17 HILLSIDE AVENUE,Queens,11427,Q,40.733066,-73.738756,413,23,"1,301",4166101,4079300002,Bellerose,"(40.733066, -73.738756)",05/05/2019
I.S. 78 - BROOKLYN,K,22,LSP VACUUM PUMPS,"663,750",CIP,K078,1420 EAST 68 STREET,Brooklyn,11234,K,40.621224,-73.91287,318,46,"69,602",3236496,3083880002,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.621224, -73.91287)",05/05/2019
CURTIS HIGH SCHOOL ANNEX - STATEN ISLAND,R,78,Addition,"69,360,558",CAP,R453,105B HAMILTON AVENUE,Staten Is,10301,R,40.644735,-74.081222,501,49,7,,,West New Brighton-New Brighton-St. George,"(40.644735, -74.081222)",05/05/2019
WIILIAMSBURG PREP- BROOKLYN,K,14,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"381,800",CIP,K650,257 N 6TH STREET,Brooklyn,11211,K,40.715073,-73.954754,301,33,519,3062135,3023300011,North Side-South Side,"(40.715073, -73.954754)",05/05/2019
P.S. 173 - MANHATTAN,M,6,FLOOD/PARAPETS/MASONRY/PAVED AREAS-CONCRETE/ROOFS,"9,926,550",CIP,M173,306 FORT WASHINGTON AVE,Manhattan,10033,M,40.845469,-73.940468,112,10,263,1063503,1021420154,Washington Heights South,"(40.845469, -73.940468)",05/05/2019
THE BROOKLYN SCHOOL FOR SOCIAL,K,32,RNWL SBHC,"1,250,581.23",CIP,K480,400 IRVING AVENUE,Brooklyn,11237,K,40.697185,-73.91117,304,37,435,3076908,3033650098,Bushwick North,"(40.697185, -73.91117)",05/05/2019
P.S. 80 - STATEN ISLAND,R,31,FY17 RESO A GYMNASIUM UPGRADE,"1,662,600",CIP,R880,715 OCEAN TERRACE,Staten Island,10301,R,40.608512,-74.102067,502,50,177,5113169,5006830001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"(40.608512, -74.102067)",05/05/2019
P.S. 108 - MANHATTAN,M,4,ELECTRICAL WORK FOR A/C INITIATIVE,"700,000",CIP,M108,1615 MADISON AVENUE,Manhattan,10029,M,40.795146,-73.948368,111,8,"17,401",1051584,1016140021,East Harlem South,"(40.795146, -73.948368)",05/05/2019
MARTIN VAN BUREN HS - QUEENS,Q,26,ELECTRICAL WORK FOR A/C INITIATIVE,"1,144,000",CIP,Q435,230-17 HILLSIDE AVENUE,Queens,11427,Q,40.733066,-73.738756,413,23,"1,301",4166101,4079300002,Bellerose,"(40.733066, -73.738756)",05/05/2019
P.S. 242 - MANHATTAN,M,3,PLANYC CLIMATE CTRL/PLANYC BOILER CONVERSION,"5,855,000",CIP,M144,134 WEST 122 STREET,Manhattan,10027,M,40.8063,-73.948013,110,9,220,1057683,1019060011,Central Harlem South,"(40.8063, -73.948013)",05/05/2019
NYC SCHOOL CONSTRUCTION AUTHOR,Q,24,3RD FLOOR PANTRY AND OFFICE BUILD OUT,"261,158",CIP,Q998,30-30 THOMSON AVENUE,Queens,11101,Q,40.745042,-73.936191,402,26,179,4003533,4002770001,Hunters Point-Sunnyside-West Maspeth,"(40.745042, -73.936191)",05/05/2019
FREDERICK DOUGLASS ACADEMY VI,Q,27,MSNRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUC REPR,"21,377,000",CIP,Q465,8-21 BAY 25 STREET,Queens,11691,Q,40.60201,-73.762795,414,31,"100,802",4300730,4157360001,Far Rockaway-Bayswater,"(40.60201, -73.762795)",05/05/2019
P.S. 41 - BROOKLYN,K,23,ELECTRICAL WORK FOR A/C INITIATIVE,"119,575",CIP,K041,411 THATFORD AVENUE,Brooklyn,11212,K,40.660306,-73.907355,316,42,918,3082389,3036040001,Brownsville,"(40.660306, -73.907355)",05/05/2019
BRONX CNTR FOR SCIENCE & MATH,X,9,FY17 RESO A AUDITORIUM UPGRADE,"531,000",CIP,X002,1365 FULTON AVENUE,Bronx,10456,X,40.833696,-73.902477,203,16,"14,701",2009617,2029250056,Claremont-Bathgate,"(40.833696, -73.902477)",05/05/2019
I.S. 78 - BROOKLYN,K,22,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"208,000",CIP,K078,1420 EAST 68 STREET,Brooklyn,11234,K,40.621224,-73.91287,318,46,"69,602",3236496,3083880002,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.621224, -73.91287)",05/05/2019
K753 SPED - BROOKLYN,K,13,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"285,300",CIP,K085,510 CLERMONT AVENUE,Brooklyn,11238,K,40.682533,-73.968769,302,35,179,3057521,3020080001,Fort Greene,"(40.682533, -73.968769)",05/05/2019
KHALIL GIBRAN INTERNATIONAL AC,K,15,LSP-VACUUM/PUMP SET/RADIATOR VALVE/FLOAT AND THERMOSTATIC STEAM TRAPS,"90,000",CIP,K806,362 SCHERMERHORN STREET,Brooklyn,11217,K,40.686499,-73.979649,302,33,39,3331754,3001740001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.686499, -73.979649)",05/05/2019
P.S. 6 - BRONX,X,12,ELECTRICAL WORK FOR A/C INITIATIVE,"242,567",CIP,X006,1000 EAST TREMONT AVENUE,Bronx,10460,X,40.840755,-73.881707,206,17,359,2010892,2030050010,East Tremont,"(40.840755, -73.881707)",05/05/2019
P.S. 18 - STATEN ISLAND,R,31,FY18 RESO A AUDITORIUM UPGRADE,"379,000",CIP,R018,221 BROADWAY,Staten Island,10310,R,40.636587,-74.117509,501,49,105,5004877,5001760010,New Brighton-Silver Lake,"(40.636587, -74.117509)",05/05/2019
I.S. 227 - BROOKLYN,K,20,WATER PENETRATION/ROOFS/EXT MASONRY/PARAPETS,"6,477,000",CIP,K227,6500 16 AVENUE,Brooklyn,11204,K,40.62191,-73.995022,311,38,250,3133741,3055510018,Bensonhurst West,"(40.62191, -73.995022)",05/05/2019
P.S. 64 - QUEENS,Q,27,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FA,"6,543,210",CIP,Q064,82-01 101 AVENUE,Queens,11416,Q,40.681172,-73.856918,409,32,42,4188214,4090530014,Woodhaven,"(40.681172, -73.856918)",05/05/2019
P.S. 193 - BROOKLYN,K,22,LSP PVI DOMESTIC WATER HEATER,"11,119.9",CIP,K193,2515 AVENUE L,Brooklyn,11210,BROOKLYN,40.621507,-73.950473,314,45,754,3208461,3076250001,Midwood,"(40.621507, -73.950473)",11/01/2019
MIDDLE SCHOOL FOR ART & PHILOS,K,18,EXTERIOR MASONRY/PARAPETS/ROOFS,"11,725,000",CIP,K252,1084 LENOX ROAD,Brooklyn,11212,BROOKLYN,40.658295,-73.920109,317,41,886,3101840,3046690037,Rugby-Remsen Village,"(40.658295, -73.920109)",11/01/2019
P.S. 85 - BRONX,X,10,EXTERIOR MASONRY/PARAPETS/ROOFS/SECURITY LIGHTING/FLOOD ELIMINATION/CAFETERIA CEILING REPLACEMENT,"10,340,066",CIP,X085,2400 MARION AVENUE,Bronx,10458,BRONX,40.858831,-73.895167,205,15,"38,302",2011054,2030240021,Fordham South,"(40.858831, -73.895167)",11/01/2019
P.S. @ 56-10 214 STREET - QUEENS,Q,26,Lease,"15,426,400",CAP,Q361,56-10 214 STREET,Queens,11364,QUEENS,40.750221,-73.764732,411,23,"1,399",4438331,4074420001,Bayside-Bayside Hills,"(40.750221, -73.764732)",11/01/2019
P.S. 69 - BROOKLYN,K,20,LSP- MULTIPLE GREASE TRAP REPLACEMENTS,"79,000",CIP,K069,6302 9TH AVENUE,Brooklyn,11220,BROOKLYN,40.632379,-74.009223,310,38,120,3387646,3057350032,Sunset Park East,"(40.632379, -74.009223)",11/01/2019
P.S. 121 - QUEENS,Q,28,ROOFS/PARAPETS/WINDOWS/EXTERIOR MASONRY/FENCING/FLOOD ELIMINATION/EXTERIOR DOORS,"16,594,000",CIP,Q121,126-10 109 AVENUE,Queens,11420,QUEENS,40.68405,-73.815834,410,28,170,4249769,4116070001,South Ozone Park,"(40.68405, -73.815834)",11/01/2019
PERFORMING ARTS AND TECH. HS -,K,19,FY14 RESO A GYMNASIUM UPGRADE,"1,032,000",CIP,K435,400 PENNSYLVANIA AVENUE,Brooklyn,11207,BROOKLYN,40.667456,-73.894747,305,42,"1,156",3084440,3037880001,East New York (Pennsylvania Ave),"(40.667456, -73.894747)",11/01/2019
MARTIN VAN BUREN HS - QUEENS,Q,26,ELECTRICAL WORK FOR A/C INITIATIVE,"1,144,000",CIP,Q435,230-17 HILLSIDE AVENUE,Queens,11427,QUEENS,40.733066,-73.738756,413,23,"1,301",4166101,4079300002,Bellerose,"(40.733066, -73.738756)",11/01/2019
P.S. 151 - QUEENS,Q,30,IPDVS CAMERA INSTALLATION,"384,000",CIP,Q151,50-05 31 AVENUE,Queens,11377,QUEENS,40.757499,-73.908898,401,22,163,4014094,4007520001,Astoria,"(40.757499, -73.908898)",11/01/2019
HS FOR MEDICAL PROFESSIONS - K,K,18,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL/FLOOD ELIMINATION,"8,222,000",CIP,K500,1600 ROCKAWAY PKWY,Brooklyn,11236,BROOKLYN,40.641474,-73.898254,318,46,990,3230949,3082220001,Canarsie,"(40.641474, -73.898254)",11/01/2019
P.S. 17 - BROOKLYN,K,14,STANDALONE GYM ANNEX,"9,683,869.13",CIP,K315,208 NORTH 5 STREET,Brooklyn,11211,BROOKLYN,40.715351,-73.956716,301,34,519,3062337,3023450001,North Side-South Side,"(40.715351, -73.956716)",11/01/2019
WASHINGTON IRVING HS - MANHATT,M,2,EXTERIOR MASONRY/ROOFS/PARAPETS/FLOOD ELIMINATION/WINDOWS/GYM FLOOR,"43,221,000",CIP,M460,40 IRVING PLACE,Manhattan,10003,MANHATTAN,40.735494,-73.987659,106,2,50,1017828,1008720057,Gramercy,"(40.735494, -73.987659)",11/01/2019
I.S. 2 - BROOKLYN,K,17,FY19 RESO A LIBRARY UPGRADE,"55,899",CIP,K002,655 PARKSIDE AVENUE,Brooklyn,11226,BROOKLYN,40.656183,-73.951583,309,40,802,3378201,3050500051,Prospect Lefferts Gardens-Wingate,"(40.656183, -73.951583)",11/01/2019
P.S. 078 - STATEN ISLAND,R,31,IPDVS CAMERA INSTALLATION,"321,615.27",CIP,R014,100 TOMPKINS AVENUE,Staten Island,10304,STATEN IS,40.622455,-74.078508,501,49,29,5014176,5005450110,Stapleton-Rosebank,"(40.622455, -74.078508)",11/01/2019
P.S. 68 - QUEENS,Q,24,ELECTRICAL WORK FOR A/C INITIATIVE/LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"844,000",CIP,Q068,59-09 ST FELIX AVENUE,Queens,11385,QUEENS,40.696556,-73.897405,405,30,557,4437837,4035790001,Ridgewood,"(40.696556, -73.897405)",11/01/2019
I.S. 78 - BROOKLYN,K,22,LSP VACUUM PUMPS,"663,750",CIP,K078,1420 EAST 68 STREET,Brooklyn,11234,BROOKLYN,40.621224,-73.91287,318,46,"69,602",3236496,3083880002,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.621224, -73.91287)",11/01/2019
I.S. 362 - MANHATTAN,M,5,KITCHEN AREAS/ROOM CONVERSION,"8,765,000",CIP,M125,425 WEST 123 STREET,Manhattan,10027,MANHATTAN,40.810431,-73.955809,109,7,"20,901",1059526,1019640012,Morningside Heights,"(40.810431, -73.955809)",11/01/2019
PORT RICHMOND HS - R,R,31,LSP REPLACE BOILER,"61,800",CIP,R446,39 INNIS STREET,Staten Island,10302,STATEN IS,40.633704,-74.142364,501,49,213,5026076,5011210001,Port Richmond,"(40.633704, -74.142364)",11/01/2019
M.S. 282 - QUEENS,Q,27,ELECTRICAL WORK FOR A/C INITIATIVE,"867,000",CIP,Q465,8-21 BAY 25 STREET,Queens,11691,QUEENS,40.60201,-73.762795,414,31,"100,802",4300730,4157360001,Far Rockaway-Bayswater,"(40.60201, -73.762795)",11/01/2019
I.S. 204 - QUEENS,Q,30,LSP GYM ACOUSTICAL CEILING TILE REPLACEMENT,"53,968",CIP,Q204,36-41 28 STREET,Queens,11106,QUEENS,40.757065,-73.932664,401,26,51,4004156,4003430001,Queensbridge-Ravenswood-Long Island City,"(40.757065, -73.932664)",11/01/2019
P.S. 111 - QUEENS,Q,30,FY18 RESO A AUDITORIUM  UPGRADE,"71,000",CIP,Q111,37-15 13 STREET,Queens,11101,QUEENS,40.758831,-73.93938,401,26,43,4004419,4003630001,Queensbridge-Ravenswood-Long Island City,"(40.758831, -73.93938)",11/01/2019
P.S. 166 - QUEENS,Q,30,FY18 RESO A AUDITORIUM  UPGRADE,"31,640",CIP,Q166,33-09 35 AVENUE,Queens,11106,QUEENS,40.757309,-73.926733,401,26,57,4008220,4006100001,Astoria,"(40.757309, -73.926733)",11/01/2019
P.S. 134 - BRONX,X,12,MINI BUILDING CONDITIONS/PLAYGROUND REDEVELOPMENT,"3,450,000",CIP,X134,1330 BRISTOW STREET,Bronx,10459,BRONX,40.831194,-73.894773,203,17,153,2010273,2029650082,Crotona Park East,"(40.831194, -73.894773)",11/01/2019
P.S. 9 - BRONX,X,10,CRACKED MASONRY/PARAPETS/ROOFS,"15,989,576.71",CIP,X009,230 EAST 183 STREET,Bronx,10458,BRONX,40.857067,-73.898936,205,15,"38,301",2013561,2031500010,Fordham South,"(40.857067, -73.898936)",11/01/2019
P.S. 330 - QUEENS,Q,24,FY19 RESO A AUDITORIUM UPGRADE,"62,500",CIP,Q287,110-08 NORTHERN BOULEVARD,Queens,11368,QUEENS,40.75788,-73.859201,403,21,381,4540038,4017250001,North Corona,"(40.75788, -73.859201)",11/01/2019
P.S. 53 - BRONX,X,9,EXTERIOR MASONRY/PARAPETS,"7,524,000",CIP,X053,360 EAST 168 STREET,Bronx,10456,BRONX,40.832866,-73.911418,204,16,175,2002299,2024350075,East Concourse-Concourse Village,"(40.832866, -73.911418)",11/01/2019
P.S. 102 - QUEENS,Q,24,FLOOD ELIMINATION/PARAPETS/EXTERIOR MASONRY/ROOFS/WINDOWS,"14,100,000",CIP,Q102,55-24 VAN HORN STREET,Queens,11373,QUEENS,40.733514,-73.877857,404,25,479,4437597,4028790031,Elmhurst-Maspeth,"(40.733514, -73.877857)",11/01/2019
